TCP,Primary Language,Secondary Language
A00075,Latin,
A00156,Latin,
A00164,Latin,
A00313,,Latin
A00325,Latin,
A00344,,Latin
A00399,French,
A00439,Latin,
A00465,Latin,
A00533,Latin,
A00573,Latin,
A00687,Scots English,
A00694,,Italian
A00706,Latin,
A00990,,Italian
A00991,,Italian
A01045,,Latin
A01083,,Latin
A01129,Latin,
A01224,,"Latin, Italian, French, Spanish"
A01429,Latin,
A01430,Latin ,
A01476,Latin,
A01556,Scots English,Latin
A01598,Latin,
A01639,Latin,
A01673,,Dutch
A01769,Latin,
A01809,Latin,
A01810,Latin,
A01838,Latin,
A01919,Latin,
A01931,Latin,
A02026,French,
A02272,Welsh,
A02274,Welsh,
A02334,,"Italian, Latin, French"
A02379,Latin,
A02602,Scots English,Latin
A02662,Latin,
A02832,,Latin
A02960,French,
A03007,Scots English,
A03024,Scots English,
A03054,Latin,
A03056,Latin,
A03067,Latin,
A03068,Latin,
A03456,,Latin
A03459,Latin,
A03461,Latin,
A03484,,Latin
A03486,Latin,
A03681,Latin,
A03780,,Latin
A03825,,"Latin, French"
A03834,Latin,
A03835,Latin,
A03836,Latin,
A03837,Latin,
A03838,Latin,
A03840,,Scots English
A03888,Latin,
A03932,Latin,
A03983,Latin,
A03987,Latin,
A03990,Latin,
A04001,Latin,
A04002,Latin,
A04009,Latin,
A04014,Latin,
A04018,Latin,
A04023,Latin,
A04041,Latin,
A04113,French,
A04114,Dutch,
A04235,,Latin
A04259,French,
A04262,,Latin
A04462,Welsh,
A04513,French,
A04589,Latin,
A04591,Latin,
A04591,Latin,
A04717,Latin,
A04743,,Latin
A04784,Latin,
A04814,Latin,
A04826,Latin,
A04830,Latin,
A04857,Latin,
A05069,Latin,
A05072,French,
A05107,Latin,
A05225,Latin,
A05226,Latin,
A05229,Latin,
A05230,Latin,
A05270,French,
A05293,Latin,
A05295,Latin,
A05296,Latin,
A05298,Latin,
A05299,Latin,
A05301,Latin,
A05302,Latin,
A05316,French,
A05325,,"Latin, Italian"
A05376,,Latin
A05409,,Latin
A05510,,Latin
A05548,Scots English,
A05603,French,
A05684,Latin,
A05722,Latin,
A05777,Latin,
A05782,,Latin
A05861,Latin,
A06059,Latin,
A06105,Italian,
A06149,French,
A06306,German,
A06316,Latin,
A06325,Latin,
A06423,,Latin
A06579,Latin,
A06727,Latin,
A06751,Latin,
A06769,Latin,
A06792,Latin,
A06978,Latin,
A07194,Latin,
A07197,French,
A07382,Latin,
A07470,French,
A07530,Welsh,
A07600,Latin,
A07611,French,
A07653,,"French, Latin, Spanish, Italian, High Dutch, Low Dutch"
A07736,Italian,
A07792,,Latin
A07794,Latin,
A08022,French,Latin
A08051,Scots English,"French, Latin"
A08056,Latin,
A08077,,Dutch
A08393,Latin,
A08496,Latin,
A08570,,Latin
A08653,,Italian
A08701,Latin,
A08702,Latin,
A08703,Latin,
A08712,Latin,
A08713,Latin,
A08714,Latin,
A08715,Latin,
A08717,Latin,
A08718,Latin,
A08719,Latin,
A08723,Latin,
A08724,Latin,
A08725,Latin,
A08727,Latin,
A08732,Latin,
A08761,Latin,
A08777,Latin,
A09047,Latin,
A09093,Welsh,
A09144,,"Latin, French"
A09165,,Latin
A09214,Latin,
A09309,,Spanish
A09312,,"Spanish, Latin"
A09314,French,
A09325,French,Latin
A09349,Latin,
A09447,Latin,
A09452,Latin,
A09485,Italian,
A09492,Welsh,Latin
A09556,Dutch,
A09558,French,Latin
A09573,Latin,
A09725,Latin,"Spanish, French, Dutch, Italian"
A09845,Latin,
A09861,French,
A10243,,Latin
A10419,,"French, Latin"
A10784,Latin,
A10989,Scots English,
A11004,Latin,
A11087,,Latin
A11179,Latin,
A11182,,Latin
A11286,French,
A11291,Latin,
A11354,Welsh,
A11579,Latin,
A11640,Scots English,
A11681,Scots English,
A11682,Scots English,
A11722,Scots English,Latin 
A11763,Dutch,
A11887,Scots English,
A11894,Scots English,
A11911,,Latin
A12063,Latin,
A12123,,Latin
A12219,Latin,
A12223,Latin,
A12290,,Latin
A12292,,Latin
A12295,,Latin
A12317,,Latin
A12598,,Latin
A12679,,Latin
A12764,Latin,
A12851,,Latin
A12856,,Latin
A12858,,Latin
A12872,,Latin
A12873,Latin,
A12878,,Latin
A12899,Latin,
A13073,,Latin
A13135,,Latin
A13183,Welsh,
A13274,,Latin
A13370,,Latin
A13386,,Italian
A13580,Latin,
A13581,Latin,
A13582,Latin,
A13590,French,
A13715,,Welsh
A14009,,Latin
A14010,Latin,
A14011,Latin,
A14159,Scots English,
A14160,,Latin
A14162,Italian,
A14163,Italian,
A14165,Italian,
A14166,Italian,
A14167,Italian,
A14168,Italian,
A14169,Italian,
A14252,Spanish,
A14289,Latin,
A14477,Scots English,
A14485,,Latin
A14489,,Latin
A14548,,French
A14631,Latin,
A14651,Welsh,
A14886,Latin,
A14952,Welsh,
A15207,French,
A15397,Latin,
A15464,French,
A15532,Latin,
A15595,Scots English,
A15680,Latin,
A15796,Latin,
A15971,Latin,
A15990,Latin,
A16186,French,Latin
A16214,Latin,
A16225,Latin,
A16626,Latin,
A16649,Latin,
A16651,,Latin
A16688,Latin,
A16856,Latin,
A16949,French,
A17090,Latin,
A17099,Latin,
A17100,Latin,
A17263,Scots English,
A17281,Scots English,Latin
A17739,Latin,
A17740,Latin,
A17741,Latin,
A17742,Latin,
A17743,Latin,
A17744,Latin,
A17745,Latin,
A17746,Latin,
A17747,Latin,
A17748,Latin,
A17749,Latin,
A17750,Latin,
A17751,Latin,
A17752,Latin,
A17753,Latin,
A17754,Latin,
A17755,Latin,
A17756,Latin,
A17757,Latin,
A17758,Latin,
A17759,Latin,
A17760,Latin,
A17761,Latin,
A17763,Latin,
A17764,Latin,
A17765,Latin,
A17766,Latin,
A17767,Latin,
A17769,Latin,
A17796,Latin,
A17799,Latin,
A17868,Latin,
A17904,Welsh,
A17909,Welsh,Latin
A18084,Latin,
A18128,Latin,
A18153,,Latin
A18168,Welsh,
A18225,Latin,
A18226,Latin,
A18294,,Latin
A18322,Latin,
A18324,French,
A18325,Italian,
A18345,,Italian
A18468,,French
A18650,,Latin
A18930,Latin,
A18943,,Latin
A18944,,Latin
A18945,Latin,
A18991,Latin,"Italian, French"
A18992,Latin,"French, Italian, "
A19059,French,
A19129,,Latin
A19161,Latin,
A19225,French,
A19275,Latin,
A19366,,"Spanish, French, Latin"
A19532,Latin,
A19576,Latin,
A19578,Latin,
A19741,Latin,
A19744,Latin,
A19770,,Latin
A19792,Latin,
A19865,Latin,
A20105,,French
A20146,Latin,
A20213,Welsh,
A20429,,French
A20469,,Latin
A20615,,Italian
A20623,Latin,
A20710,Latin,
A20781,Latin,
A20889,Latin,
A20911,Latin,
A20913,Latin,
A21073,Latin,
A21113,Latin,
A21114,Latin,
A21117,Latin,
A21122,Latin,
A21128,Latin,
A21130,Latin,
A21134,French,
A21135,French,
A21194,Latin,
A21218,,"French, Italian"
A21224,French,
A21235,,French
A21419,Latin,
A21553,,Latin
A21607,,Latin
A21608,French,
A21782,,Latin
A21928,Latin,
A22421,Spanish,
A22681,Dutch,
A22692,Latin,
A22693,Dutch,
A22694,French,
A22695,Italian,
A22699,Spanish,
A22703,,Dutch
A22714,Latin,
A23236,French,Latin
A23374,French,
A23393,French,
A23434,French,Latin
A23445,French,
A23484,French,Latin
A23485,French,Latin
A23743,Welsh,
A25323,Latin,
A25479,,Latin
A25682,,Latin
A26251,,Latin
A26327,,Latin
A26484,Latin,
A26496,,"French, Latin"
A26540,Dutch,French
A26553,,Latin
A26641,Latin,
A26692,Welsh,
A26750,,"Greek, Latin"
A26815,Latin,
A26817,,Latin
A27078,,Latin
A27384,,Latin
A27386,,Latin
A27387,,Latin
A27552,Latin,
A28038,French,
A28067,Irish,
A28105,Welsh,
A28109,Welsh,
A28111,,"Latin, French, Italian, Spanish, Greek, Hebrew"
A28126,,"Greek, Latin"
A28216,Latin,
A28463,,Latin
A28482,,Latin
A28509,Latin,
A28546,,Latin
A28573,French,
A28629,,Latin
A28700,Welsh,
A28832,Latin,
A28928,,French
A28932,,French
A29046,Latin,
A29060,Latin,
A29080,French,
A29292,French,
A29332,French,
A29334,French,
A29335,French,
A29433,French,
A29839,Latin,
A30113,Welsh,
A30210,Welsh,
A30431,Latin,
A30492,Latin,
A30694,,Latin
A31015,Latin,
A31088,Latin,
A31100,Latin,
A31249,French,
A31261,,"Greek, Latin, French"
A31266,,Latin
A31270,,"Greek, Latin, French"
A31281,,"Latin, French"
A31307,,Latin
A31389,Latin,
A31473,Latin,
A32705,Latin,
A33257,Latin,
A33689,French,Latin
A33731,Latin,
A33997,,Latin
A34111,,Latin
A34133,,Dutch
A34333,Latin,
A34375,Latin,
A34686,Scots Gaelic,
A34790,,Latin
A35066,,Latin
A35218,Welsh,
A35507,Scots English,Latin
A35526,Latin,
A35527,Latin,
A36017,Latin,
A36225,Welsh,
A36226,Welsh,
A36554,Welsh,
A36773,,Latin
A36790,,Latin
A36803,Latin,
A37954,Welsh,
A37955,Welsh,
A37958,Welsh,
A37959,Latin,"Hebrew, Welsh"
A38454,,Latin
A38597,Welsh,
A39346,Latin,
A39349,Latin,
A39352,Latin,
A39362,Latin,
A39535,Latin,
A39536,Latin,
A39537,Latin,
A39541,Latin,
A39544,Latin,
A39545,Latin,
A39590,French,
A39640,,Latin
A39778,French,
A39859,Portugese,
A39995,Latin,
A39996,Latin,
A40111,French,
A40265,,Latin
A40366,Latin,
A40641,Latin,
A40902,Latin,Greek
A41034,Latin,
A41258,Welsh,
A41259,Welsh,
A41268,,Latin
A41353,Welsh,
A41636,Welsh,
A41643,Welsh,
A41646,Welsh,
A41656,Welsh,
A41723,Latin,
A41880,Latin,
A41890,Latin,
A42067,Latin,
A42094,French,
A42103,Latin,
A42116,Latin,
A42256,Latin,
A42292,French,
A42342,Latin,
A42673,German,Latin
A42989,Latin,
A42992,Latin,
A42993,Latin,
A42994,Latin,
A42995,Latin,
A42997,Latin,
A43014,Latin,
A43130,Latin,
A43366,Latin,
A43446,German,
A43828,Latin,
A43979,Latin,
A43981,,Latin
A43988,Latin,
A43989,Latin,
A44008,Latin,
A44021,Latin,
A44022,Latin,
A44104,Latin,
A44109,Latin,
A44316,Latin,
A44384,,Latin
A44386,,Latin
A44402,,Latin
A44407,Latin,
A44582,Latin,
A44736,,Spanish
A44738,,"Italian, French, Spanish, Catalan, Galician, Welsh, Portuguese"
A44775,French,
A45232,,French
A45278,Latin,
A45290,Latin,
A45294,Latin,
A45574,Latin,
A45590,Latin,
A45601,Latin,
A45826,,Latin
A45829,Latin,
A45845,Latin,
A45918,Latin,
A46029,Latin,
A46332,Latin,
A46356,Latin,
A46422,,Latin
A46425,,Latin
A46459,Latin,
A46642,,Latin
A46645,,Latin
A46672,,Latin
A46887,Latin,
A47062,Latin,
A47069,Welsh,
A47070,Welsh,
A47085,,Welsh
A47201,Latin,
A47211,Latin,
A47248,Latin,
A47249,Latin,
A47279,Latin,
A47571,Latin,
A47595,Latin,
A47630,,"Latin, Hebrew"
A47674,French,
A47729,,"French, Latin"
A48527,,Latin
A48528,,Latin
A48545,,Latin
A48562,,Latin
A48810,,Latin
A48990,,Latin
A49214,,French
A49224,,French
A49235,,French
A49359,Latin,
A49469,Latin,
A49550,Latin,
A49671,French,Latin
A49916,Latin,
A50062,,Latin
A50086,Latin,
A50107,Latin,
A50131,Spanish,
A50181,,Algonquian
A50230,Latin,
A50422,Welsh,
A50516,French,
A50530,Latin,
A50591,Latin ,
A50592,Latin,
A50593,Latin,
A50669,,Latin
A50777,,Latin
A50820,,French
A50880,,Latin
A50935,,Latin
A50938,,Latin
A50989,Latin,
A51116,French,
A51153,French,
A51267,,Latin
A51271,French,
A51379,Latin,
A51390,Latin,
A51413,Latin,
A51644,Latin,
A51646,Latin,
A51835,,Latin
A52079,Latin,
A52251,Latin,
A52280,Spanish,
A52456,Latin,
A52532,Latin,
A52575,Latin,
A52838,French,
A52846,Latin,
A53042,Latin,
A53187,Latin,
A53247,Latin,
A53306,Latin,
A53345,,Latin
A53657,Welsh,
A53747,Welsh,
A53786,Latin,
A53810,Latin,
A53812,Latin,
A53816,Latin,
A53895,Latin,
A53901,Latin,
A54376,Latin,
A54390,Latin,
A54500,,Latin
A54573,Latin,
A54610,French,
A54756,,Latin
A54868,,Quinnipiac
A54941,,Latin
A55153,Latin,
A55157,,Latin
A55562,Welsh,
A55811,Welsh,
A55812,Welsh,
A55832,Latin,
A55856,,Italian
A55904,,French
A56125,Latin,
A56130,,Latin
A56163,,Latin
A56204,,Latin
A56431,French,
A57006,French,
A57259,,Latin
A57469,Latin,
A57729,Latin,
A58097,Latin,
A58151,Latin,
A58175,,Latin
A59547,French,
A59910,Welsh,
A59978,,Latin
A59980,,Latin
A59995,,Latin
A60116,Latin,
A60186,Latin,
A60188,Latin,
A60263,,"Latin, Greek"
A60308,French,
A61021,Latin,
A61502,,Latin
A61880,Latin,Greek
A61989,,Latin
A62131,Latin,
A62554,,Latin
A62564,Latin,
A62683,,Latin
A62822,Italian,
A63829,,Latin
A63981,,Latin
A63984,,Latin
A64389,Latin,
A64645,Welsh,
A64662,Welsh,
A64669,Welsh,
A64789,French,
A64790,French,
A64843,Dutch,
A64845,Welsh,
A65140,Latin,
A65219,,Latin
A65588,Latin,
A65772,Latin,
A65783,Latin,
A65801,Latin,
A65824,Latin,
A66153,French,
A66397,Welsh,
A66452,,"French, Latin"
A66493,Latin,
A66508,Latin,
A66675,Latin,
A66732,,"Latin, French"
A66807,,"Latin, Greek"
A67147,Latin,
A67161,,Latin
A67224,Welsh,
A67314,Latin,
A67556,,Latin
A67566,Latin,
A67568,Latin,
A67611,Latin,
A67650,,Latin
A67819,Latin,
A68028,,Latin
A68029,,Latin
A68128,,Latin
A68219,Welsh,
A68331,Scots English,
A68344,Latin,
A68538,Latin,
A68626,Latin,
A68806,French,Latin
A68837,,"Latin, Italian"
A69007,,"French, Italian"
A69641,,Latin
A69797,,French
A69934,Latin,
A70305,,Latin
A70453,,Latin
A70549,,Latin
A70650,,Latin
A70855,,Italian
A70867,,Latin
A70927,Latin,
A71031,,Latin
A72088,French,
A72359,Welsh,
A72398,Welsh,
A72536,Italian,
A72564,Latin,
A72568,,Latin
A72620,Latin,
A72785,,Latin
A72894,,Italian
A73514,,French
A73702,,Latin
A73846,Latin,
A73876,Latin,
A74090,French,
A74113,French,
A74114,French,
A74115,French,
A74116,French,
A74855,French,
A74875,French,
A74950,Dutch,
A75110,Welsh,
A75111,Welsh,
A75112,Welsh,
A75113,Welsh,
A75114,Welsh,
A75115,Welsh,
A75116,Welsh,
A75117,Welsh,
A75118,Welsh,
A75119,Welsh,
A75120,Welsh,
A75121,Welsh,
A75122,French,
A75123,Welsh,
A75148,Welsh,
A75627,Welsh,
A75742,Welsh,
A75746,Latin,
A75895,French,
A76033,,Latin
A76162,Welsh,
A76231,,Latin
A76257,Welsh,
A76390,,Latin
A76482,Welsh,
A76651,French,
A76680,Welsh,
A76681,Welsh,
A76682,Welsh,
A76683,Welsh,
A77099,,Latin
A77489,French,
A77831,Welsh,
A78113,Welsh,
A78287,,Latin
A78623,French,
A78684,Latin,French
A79184,French,
A79364,Latin,
A79365,Latin,
A79366,Latin,
A79381,Latin,
A79417,Latin,
A79696,Welsh,
A79938,French,
A79939,French,
A80065,Latin,
A80196,French,
A80215,Welsh,
A80604,French,
A80738,Latin,
A80812,French,
A80884,Latin,
A81113,Latin,
A81200,Welsh,
A81201,Welsh,
A81315,Welsh,
A81415,Latin,
A81440,French,
A81597,Welsh,
A81635,Welsh,
A81705,Latin,
A81795,,Latin
A82327,French,
A82610,French,
A82821,Dutch,
A83174,Welsh,
A83480,Spanish,
A84028,,Dutch
A84041,Latin,
A84649,French,
A85081,Latin,
A85479,Welsh,
A85682,French,
A85697,,Latin
A85728,Latin,
A85793,Welsh,
A85796,Welsh,
A86558,,Latin
A87349,Welsh,
A87746,Latin,
A88708,French,
A88796,French,
A88963,,French
A89149,,Latin
A89262,Latin,
A89596,Welsh,
A89695,Latin,
A89816,Latin,
A90036,,Spanish
A90301,Latin,
A90307,Latin,
A90315,Latin,
A90317,Latin,
A90318,Latin,
A90319,Latin,
A90320,Latin,
A90321,Latin,
A90322,Latin,
A90323,Latin,
A90324,Latin,
A90325,Latin,
A90326,Latin,
A90327,Latin,
A90328,Latin,
A90329,Latin,
A90330,Latin,
A90331,Latin,
A90332,Latin,
A90333,Latin,
A90334,Latin,
A90337,Latin,
A90338,Latin,
A90500,Latin,
A90503,Welsh,
A90506,Welsh,
A90532,Latin,
A90670,,Latin
A90671,French,
A90890,Latin,
A90995,Welsh,
A91074,Latin,
A91186,,Latin
A91270,,Latin
A91273,,Latin
A91279,,Latin
A91606,Latin,
A91763,,Italian
A91847,French,
A91905,Latin,
A91995,Latin,
A92197,Latin,
A92342,French,
A92669,,Latin
A93071,French,
A93172,,Latin
A93177,,Latin
A93256,Latin,
A93257,Latin,
A93522,,Latin
A93561,Welsh,
A93938,Latin,
A94252,,Latin
A95346,Welsh,
A95383,Latin,
A95629,French,
A95668,Welsh,
A95719,Welsh,
A95720,Welsh,
A95766,Welsh,
A95923,,Latin
A96007,Latin,
A96156,Latin,
A96182,,French
A96225,Welsh,
A96380,Latin,
A96784,,Latin
A96875,,Irish
A96957,Latin,
A96958,Latin,
A96959,Latin,
A97151,,Latin
A97350,,Latin
A97358,Latin,
A97363,Welsh,
A97376,Latin,
B00196,,Scots English
B00216,Welsh,
B00322,Welsh,
B00323,Welsh,
B00324,Welsh,
B00354,Welsh,
B00578,Welsh,
B00609,Welsh,
B00618,Welsh,
B00619,Welsh,
B00672,French,
B00680,Scots English,
B00681,Scots English,
B00772,Welsh,
B00843,,French
B00914,Welsh,
B00915,Welsh,
B00916,Welsh,
B00917,Welsh,
B00918,Welsh,
B00935,Welsh,
B00938,Welsh,
B01214,French,
B01256,Latin,
B01280,French,Latin
B01524,Welsh,
B01638,Irish,
B01689,Welsh,
B01849,French,
B01991,,Dutch
B02175,Welsh,
B02219,Latin,
B02641,French,
B02801,French,
B02883,Welsh,
B02886,French,
B02976,Dutch,
B03136,,Latin
B03339,Scots Gaelic,
B03487,Welsh,
B03738,Latin,
B03857,Welsh,
B03930,Welsh,
B03931,Welsh,
B03941,Welsh,
B04127,Welsh,
B04128,Welsh,
B04129,Welsh,
B04329,Welsh,
B04507,Welsh,
B04690,Welsh,
B04829,Welsh,
B04830,Welsh,
B04831,Welsh,
B04835,Welsh,
B04948,Welsh,
B05093,Welsh,
B05388,,Latin
B05795,Latin,
B05815,Welsh,
B05830,Welsh,
B05895,Latin,
B06354,Latin,
B06479,Latin,
B07114,French,
B07401,Welsh,
B07434,Scots Gaelic,
B07502,Latin,
B07519,Welsh,
B07618,French,
B07722,,Latin
B07739,French,
B08033,,Latin
B08075,Scots English,
B08104,,"French, Dutch, Latin"
B08108,,Spanish
B08162,Welsh,
B08182,Italian,
B08778,,"French, Latin"
B08779,,French
B08796,,Latin
B08919,French,
B09308,,Latin
B09870,French,
B10251,Latin,
B10298,Welsh,
B10300,Welsh,
B10301,Welsh,
B10302,Welsh,
B10303,Welsh,
B10304,Welsh,
B11831,Latin,
B12032,French,
B12560,Scots English,
B13511,,Latin
B20770,,"Greek, Latin, Italian, French, Spanish"
B27204,,Dutch
B34542,French,
B36974,Scots Gaelic,
B36975,Scots Gaelic,
K012677.000,,Latin
K023131.000,,Latin
K023139.000,,Latin
K023189.000,,Latin
K023192.000,,Latin
K032080.001,,Latin
K032080.002,,Latin
K032080.003,,Latin
K032080.004,,Latin
K032080.005,,Latin
K041581.000,,Latin
K063010.000,,Latin
K066039.000,French,
K078024.006,,Latin
K078024.008,,Latin
K078024.009,,Latin
K080662.005,,Latin
K082106.000,,Latin
K110265.000,,Latin
K111807.000,,Latin
K111808.000,,Latin
K113132.000,Welsh,
K122997.000,,French
N00517,,Latin
N01095,,"Latin, Dutch, Algonquin"
N20490,,French
N33557,,German
